iter	Passed	Remaining
0	47	9460
1	48	4755
2	48	3181
3	48	2395
4	49	1921
5	49	1604
6	50	1391
7	51	1230
8	52	1105
9	52	1005
10	53	922
11	54	854
12	55	795
13	56	745
14	56	702
15	57	664
16	58	630
17	59	600
18	60	573
19	60	548
20	61	523
21	61	499
22	62	479
23	62	459
24	62	440
25	63	424
26	63	408
27	64	393
28	64	379
29	64	367
30	65	355
31	65	344
32	66	334
33	66	324
34	66	315
35	67	306
36	67	297
37	67	289
38	68	282
39	68	274
40	69	267
41	69	261
42	69	254
43	70	248
44	70	242
45	70	237
46	71	231
47	71	226
48	72	222
49	72	217
50	72	212
51	73	208
52	73	204
53	73	200
54	74	196
55	74	192
56	75	188
57	75	185
58	76	181
59	76	178
60	77	175
61	77	172
62	78	169
63	78	166
64	79	164
65	79	161
66	79	158
67	80	155
68	80	153
69	81	150
70	81	148
71	81	145
72	82	143
73	82	140
74	83	138
75	83	136
76	83	133
77	84	131
78	84	129
79	85	127
80	85	125
81	85	123
82	86	121
83	86	119
84	87	117
85	87	115
86	87	114
87	88	112
88	89	111
89	90	110
90	90	108
91	90	106
92	91	105
93	91	103
94	92	101
95	92	100
96	92	98
97	93	97
98	93	95
99	94	94
100	94	92
101	94	91
102	95	89
103	95	88
104	96	86
105	96	85
106	97	84
107	97	83
108	98	81
109	98	80
110	98	79
111	99	77
112	99	76
113	100	75
114	100	74
115	100	72
116	101	71
117	101	70
118	101	69
119	102	68
120	102	67
121	103	65
122	103	64
123	103	63
124	104	62
125	104	61
126	104	60
127	105	59
128	105	58
129	106	57
130	109	57
131	110	56
132	110	55
133	110	54
134	111	53
135	111	52
136	112	51
137	112	50
138	112	49
139	113	48
140	113	47
141	114	46
142	114	45
143	115	44
144	115	43
145	115	42
146	116	41
147	116	40
148	117	40
149	117	39
150	118	38
151	118	37
152	119	36
153	119	35
154	120	34
155	120	34
156	121	33
157	121	32
158	122	31
159	122	30
160	123	29
161	123	29
162	124	28
163	124	27
164	125	26
165	125	25
166	126	25
167	127	24
168	127	23
169	128	22
170	129	21
171	129	21
172	130	20
173	130	19
174	131	18
175	132	18
176	132	17
177	133	16
178	133	15
179	134	14
180	134	14
181	135	13
182	135	12
183	136	11
184	136	11
185	137	10
186	137	9
187	138	8
188	138	8
189	138	7
190	139	6
191	139	5
192	140	5
193	140	4
194	141	3
195	141	2
196	141	2
197	142	1
198	142	0
199	143	0
