date,open,high,low,close,fetched_at
2025-03-21,1.08535,1.08613,1.07962,1.08120,2025-03-22T14:42:49.701944
2025-03-20,1.09045,1.09173,1.08143,1.08539,2025-03-22T14:42:49.701944
2025-03-19,1.09436,1.09460,1.08603,1.09033,2025-03-22T14:42:49.701944
2025-03-18,1.09214,1.09547,1.08921,1.09442,2025-03-22T14:42:49.701944
2025-03-17,1.08800,1.09297,1.08680,1.09212,2025-03-22T14:42:49.701944
2025-03-14,1.08515,1.09127,1.08304,1.08765,2025-03-22T14:42:49.701944
2025-03-13,1.08856,1.08972,1.08222,1.08510,2025-03-22T14:42:49.701944
2025-03-12,1.09111,1.09314,1.08754,1.08857,2025-03-22T14:42:49.701944
2025-03-11,1.08345,1.09472,1.08305,1.09110,2025-03-22T14:42:49.701944
2025-03-10,1.08392,1.08747,1.08048,1.08340,2025-03-22T14:42:49.701944
2025-03-07,1.07820,1.08888,1.07768,1.08300,2025-03-22T14:42:49.701944
2025-03-06,1.07864,1.08537,1.07655,1.07818,2025-03-22T14:42:49.701944
2025-03-05,1.06249,1.07968,1.06017,1.07875,2025-03-22T14:42:49.701944
2025-03-04,1.04849,1.06275,1.04708,1.06253,2025-03-22T14:42:49.701944
2025-03-03,1.04027,1.05036,1.03883,1.04857,2025-03-22T14:42:49.701944
2025-02-28,1.03966,1.04200,1.03596,1.03747,2025-03-22T14:42:49.701944
2025-02-27,1.04834,1.04924,1.03965,1.03973,2025-03-22T14:42:49.701944
2025-02-26,1.05124,1.05289,1.04747,1.04836,2025-03-22T14:42:49.701944
2025-02-25,1.04664,1.05193,1.04559,1.05121,2025-03-22T14:42:49.701944
2025-02-24,1.04768,1.05283,1.04524,1.04671,2025-03-22T14:42:49.701944
2025-02-21,1.05001,1.05054,1.04490,1.04559,2025-03-22T14:42:49.701944
2025-02-20,1.04217,1.05034,1.04183,1.05002,2025-03-22T14:42:49.701944
2025-02-19,1.04450,1.04613,1.04004,1.04222,2025-03-22T14:42:49.701944
2025-02-18,1.04833,1.04863,1.04348,1.04459,2025-03-22T14:42:49.701944
2025-02-17,1.04858,1.05062,1.04667,1.04840,2025-03-22T14:42:49.701944
2025-02-14,1.04625,1.05141,1.04469,1.04913,2025-03-22T14:42:49.701944
2025-02-13,1.03818,1.04670,1.03726,1.04641,2025-03-22T14:42:49.701944
2025-02-12,1.03605,1.04299,1.03168,1.03824,2025-03-22T14:42:49.701944
2025-02-11,1.03062,1.03815,1.02917,1.03604,2025-03-22T14:42:49.701944
2025-02-10,1.02886,1.03365,1.02808,1.03063,2025-03-22T14:42:49.701944
2025-02-07,1.03821,1.04124,1.03048,1.03260,2025-03-22T14:42:49.701944
2025-02-06,1.04019,1.04058,1.03521,1.03828,2025-03-22T14:42:49.701944
2025-02-05,1.03780,1.04425,1.03693,1.04021,2025-03-22T14:42:49.701944
2025-02-04,1.03427,1.03876,1.02720,1.03783,2025-03-22T14:42:49.701944
2025-02-03,1.02320,1.03499,1.02103,1.03430,2025-03-22T14:42:49.701944
2025-01-31,1.03879,1.04340,1.03496,1.03602,2025-03-22T14:42:49.701944
2025-01-30,1.04203,1.04679,1.03859,1.03875,2025-03-22T14:42:49.701944
2025-01-29,1.04296,1.04436,1.03821,1.04207,2025-03-22T14:42:49.701944
2025-01-28,1.04912,1.04932,1.04135,1.04298,2025-03-22T14:42:49.701944
2025-01-27,1.04790,1.05334,1.04536,1.04916,2025-03-22T14:42:49.701944
2025-01-24,1.04147,1.05214,1.04112,1.04919,2025-03-22T14:42:49.701944
2025-01-23,1.04080,1.04380,1.03717,1.04148,2025-03-22T14:42:49.701944
2025-01-22,1.04285,1.04573,1.03918,1.04077,2025-03-22T14:42:49.701944
2025-01-21,1.04156,1.04353,1.03419,1.04283,2025-03-22T14:42:49.701944
2025-01-20,1.02831,1.04342,1.02659,1.04155,2025-03-22T14:42:49.701944
2025-01-17,1.02965,1.03306,1.02650,1.02710,2025-03-22T14:42:49.701944
2025-01-16,1.02880,1.03151,1.02604,1.02990,2025-03-22T14:42:49.701944
2025-01-15,1.03074,1.03544,1.02588,1.02861,2025-03-22T14:42:49.701944
2025-01-14,1.02407,1.03086,1.02382,1.03076,2025-03-22T14:42:49.701944
2025-01-13,1.02402,1.02500,1.01772,1.02441,2025-03-22T14:42:49.701944
2025-01-10,1.02990,1.03118,1.02124,1.02440,2025-03-22T14:42:49.701944
2025-01-09,1.03177,1.03215,1.02834,1.02990,2025-03-22T14:42:49.701944
2025-01-08,1.03398,1.03575,1.02728,1.03178,2025-03-22T14:42:49.701944
2025-01-07,1.03884,1.04344,1.03390,1.03394,2025-03-22T14:42:49.701944
2025-01-06,1.03020,1.04368,1.02940,1.03898,2025-03-22T14:42:49.701944
2025-01-03,1.02640,1.03100,1.02524,1.03066,2025-03-22T14:42:49.701944
2025-01-02,1.03544,1.03756,1.02238,1.02619,2025-03-22T14:42:49.701944
2025-01-01,1.03580,1.03590,1.03520,1.03520,2025-03-22T14:42:49.701944
2024-12-31,1.04054,1.04244,1.03438,1.03522,2025-03-22T14:42:49.701944
2024-12-30,1.04275,1.04584,1.03714,1.04068,2025-03-22T14:42:49.701944
2024-12-27,1.04184,1.04441,1.04047,1.04239,2025-03-22T14:42:49.701944
2024-12-26,1.04030,1.04301,1.03901,1.04220,2025-03-22T14:42:49.701944
2024-12-25,1.03950,1.04120,1.03950,1.04010,2025-03-22T14:42:49.701944
2024-12-24,1.04043,1.04099,1.03832,1.04010,2025-03-22T14:42:49.701944
2024-12-23,1.04304,1.04452,1.03838,1.04048,2025-03-22T14:42:49.701944
2024-12-20,1.03616,1.04475,1.03426,1.04244,2025-03-22T14:42:49.701944
2024-12-19,1.03513,1.04224,1.03457,1.03605,2025-03-22T14:42:49.701944
2024-12-18,1.04904,1.05127,1.03436,1.03507,2025-03-22T14:42:49.701944
2024-12-17,1.05099,1.05341,1.04788,1.04903,2025-03-22T14:42:49.701944
2024-12-16,1.04865,1.05248,1.04742,1.05121,2025-03-22T14:42:49.701944
2024-12-13,1.04655,1.05242,1.04527,1.05017,2025-03-22T14:42:49.701944
2024-12-12,1.04935,1.05309,1.04634,1.04690,2025-03-22T14:42:49.701944
2024-12-11,1.05259,1.05394,1.04797,1.04933,2025-03-22T14:42:49.701944
2024-12-10,1.05519,1.05681,1.04980,1.05268,2025-03-22T14:42:49.701944
2024-12-09,1.05574,1.05945,1.05317,1.05531,2025-03-22T14:42:49.701944
2024-12-06,1.05839,1.06298,1.05419,1.05673,2025-03-22T14:42:49.701944
2024-12-05,1.05071,1.05896,1.05054,1.05840,2025-03-22T14:42:49.701944
2024-12-04,1.05065,1.05441,1.04718,1.05114,2025-03-22T14:42:49.701944
2024-12-03,1.04970,1.05351,1.04806,1.05073,2025-03-22T14:42:49.701944
2024-12-02,1.05695,1.05742,1.04603,1.04966,2025-03-22T14:42:49.701944
2024-11-29,1.05511,1.05971,1.05411,1.05748,2025-03-22T14:42:49.701944
2024-11-28,1.05652,1.05700,1.05271,1.05489,2025-03-22T14:42:49.701944
2024-11-27,1.04868,1.05878,1.04740,1.05660,2025-03-22T14:42:49.701944
2024-11-26,1.04929,1.05448,1.04246,1.04879,2025-03-22T14:42:49.701944
2024-11-25,1.04829,1.05303,1.04486,1.04942,2025-03-22T14:42:49.701944
2024-11-22,1.04734,1.04981,1.03325,1.04193,2025-03-22T14:42:49.701944
2024-11-21,1.05427,1.05550,1.04618,1.04738,2025-03-22T14:42:49.701944
2024-11-20,1.05931,1.06100,1.05065,1.05432,2025-03-22T14:42:49.701944
2024-11-19,1.05979,1.06010,1.05229,1.05937,2025-03-22T14:42:49.701944
2024-11-18,1.05294,1.06072,1.05280,1.05979,2025-03-22T14:42:49.701944
2024-11-15,1.05290,1.05930,1.05159,1.05394,2025-03-22T14:42:49.701944
2024-11-14,1.05627,1.05825,1.04958,1.05290,2025-03-22T14:42:49.701944
2024-11-13,1.06202,1.06540,1.05555,1.05622,2025-03-22T14:42:49.701944
2024-11-12,1.06534,1.06631,1.05946,1.06216,2025-03-22T14:42:49.701944
2024-11-11,1.07070,1.07280,1.06283,1.06533,2025-03-22T14:42:49.701944
2024-11-08,1.08021,1.08050,1.06865,1.07182,2025-03-22T14:42:49.701944
2024-11-07,1.07262,1.08247,1.07125,1.08038,2025-03-22T14:42:49.701944
2024-11-06,1.09265,1.09369,1.06822,1.07269,2025-03-22T14:42:49.701944
2024-11-05,1.08757,1.09365,1.08721,1.09288,2025-03-22T14:42:49.701944
2024-11-04,1.08790,1.09147,1.08695,1.08767,2025-03-22T14:42:49.701944
