title,description,publishedAt,source,fetched_at
Курс доллара превысил 90 рублей,"В ходе торгов на международном рынке Forex курс доллара вернулся на уровень выше 90 рублей. На максимуме по состоянию на 16:30 по московскому времени, он поднимался до 90,05 рублей, свидетельствуют данные Investing",2025-03-03T13:50:00Z,Lenta,2025-03-22T15:33:28.547948
Курс доллара резко вырос,"В первой половине дня четверга, 20 марта, курс доллара к рублю на международном рынке Forex резко растет, свидетельствуют данные Investing. С минимальных 83,5 рубля доллар подорожал до 85,6 рубля",2025-03-20T10:22:00Z,Lenta,2025-03-22T15:33:28.547948
Курс доллара опустился ниже 84 рублей,"В первой половине дня понедельника, 17 марта, курс доллара на российском межбанковском рынке опускался ниже 84 рублей, что произошло впервые с 20 июня прошлого года. На минимуме он доходил до 83,93 рубля, свидетельствуют данные «Финам»",2025-03-17T11:11:36Z,Lenta,2025-03-22T15:33:28.547948
Центробанк незначительно снизил официальный курс доллара,"Руководство Центробанка (ЦБ) незначительно снизило официальный курс доллара, котировки американской валюты на среду, 5 марта, установили на уровне в 89,24 рубля. Об этом сообщается на сайте российского регулятора",2025-03-04T15:27:00Z,Lenta,2025-03-22T15:33:28.547948
Российский фондовый рынок упал,"На старте торгов в среду, 19 марта, российский фондовый рынок теряет весь рост, наблюдавшийся на фоне ожидания телефонного разговора президентов России и США Владимира Путина и Дональда Трампа. Индекс Мосбиржи опустился ниже 3200 пунктов, свидетельствуют данн…",2025-03-19T07:54:27Z,Lenta,2025-03-22T15:33:28.547948
"Rupee hits 3-week high on dollar inflows, RBI seen buying at lower levels","The Indian rupee gained 23 paise, closing at Rs 86.57 against the dollar, its highest in over three weeks, supported by dollar inflows and exporter sales. Strong economic data, foreign fund inflows, and a weaker dollar index contributed to the rise, while RBI…",2025-03-18T14:57:21Z,The Times of India,2025-03-22T15:33:28.547948
Magnificent 7 Stocks Today: Amazon's Worst Losing Streak of 2025,"Never miss an Options trading signal: Unusual Options Activity and Options Screeners with Barchart Premier.
FREE 30 Day Trial
- Market Pulse
- VolatilityVolume & Open InterestHorizontal StrategiesButterfly Strategies
-
- ResourcesEuropean FuturesEuropean Grou…",2025-02-24T19:42:38Z,Biztoc.com,2025-03-22T15:33:28.547948
1 High-Yield Dividend Stock Poised to Soar Thanks to AI,"Market Pulse
- VolatilityVolume & Open InterestHorizontal StrategiesButterfly Strategies
-
- ResourcesEuropean FuturesEuropean Groupings
- Forex Market Pulse
- Investing Ideas
- AI Stocks
- Battery Stocks
- Best Dividend Stocks
- Biotechnology Stocks
- Cannab…",2025-02-26T00:34:13Z,Biztoc.com,2025-03-22T15:33:28.547948
Stocks Give Up Early Gains on Tariff Concerns,"Investment Tools And Research To Help Make You A More Confident And Profitable Trader.
FREE 30 Day Trial
- Market Pulse
- VolatilityVolume & Open InterestHorizontal StrategiesButterfly Strategies
-
- ResourcesEuropean FuturesEuropean Groupings
- Forex Market …",2025-02-27T15:18:49Z,Biztoc.com,2025-03-22T15:33:28.547948
Cattle Rally Back on Tuesday,"Get all the relevant market information you need — get it fast, on time, and accurately with Barchart Plus.
FREE 30 Day Trial
- Market Pulse
- VolatilityVolume & Open InterestHorizontal StrategiesButterfly Strategies
-
- ResourcesEuropean FuturesEuropean Grou…",2025-03-05T13:46:07Z,Biztoc.com,2025-03-22T15:33:28.547948
