datetime,open,high,low,close,asset,SMA_5
2024-06-28,1.070847,1.072099,1.068604,1.070847,EUR/USD,1.0703736
2024-07-01,1.073526,1.077819,1.072076,1.073526,EUR/USD,1.0713236
2024-07-02,1.07371,1.07461,1.071065,1.07371,EUR/USD,1.0714112
2024-07-03,1.074841,1.08156,1.07371,1.074841,EUR/USD,1.072187
2024-07-04,1.079331,1.081666,1.078423,1.079331,EUR/USD,1.074451
2024-07-05,1.081069,1.083835,1.081069,1.081069,EUR/USD,1.0764954000000002
2024-07-08,1.082603,1.084716,1.081514,1.082603,EUR/USD,1.0783108000000001
2024-07-09,1.083095,1.083424,1.080625,1.083095,EUR/USD,1.0801878
2024-07-10,1.081479,1.082872,1.081186,1.081479,EUR/USD,1.0815154
2024-07-11,1.08333,1.089835,1.083295,1.08333,EUR/USD,1.0823152
2024-07-12,1.087276,1.091119,1.086307,1.087276,EUR/USD,1.0835566
2024-07-15,1.088554,1.092192,1.088435,1.088554,EUR/USD,1.0847468
2024-07-16,1.090156,1.090631,1.087216,1.090156,EUR/USD,1.0861589999999999
2024-07-17,1.090251,1.094715,1.089633,1.090251,EUR/USD,1.0879134000000001
2024-07-18,1.09402,1.094212,1.090536,1.09402,EUR/USD,1.0900514
2024-07-19,1.090156,1.090156,1.087737,1.090156,EUR/USD,1.0906274
2024-07-22,1.089918,1.090156,1.08737,1.089918,EUR/USD,1.0909002
2024-07-23,1.088981,1.090037,1.084446,1.088981,EUR/USD,1.0906652
2024-07-24,1.085069,1.086649,1.082673,1.085069,EUR/USD,1.0896288
2024-07-25,1.083952,1.086437,1.082931,1.083952,EUR/USD,1.0876152
2024-07-26,1.085128,1.08685,1.084269,1.085128,EUR/USD,1.0866096
2024-07-29,1.085376,1.087193,1.08031,1.085376,EUR/USD,1.0857012000000001
2024-07-30,1.081947,1.083776,1.079995,1.081947,EUR/USD,1.0842943999999999
2024-07-31,1.081607,1.085187,1.080871,1.081607,EUR/USD,1.0836020000000002
2024-08-01,1.082392,1.083776,1.07783,1.082392,EUR/USD,1.08329
2024-08-02,1.07876,1.092622,1.078295,1.07876,EUR/USD,1.0820164
2024-08-05,1.091084,1.10074,1.089372,1.091084,EUR/USD,1.0831579999999998
2024-08-06,1.095098,1.096311,1.090465,1.095098,EUR/USD,1.0857882
2024-08-07,1.092622,1.093637,1.090691,1.092622,EUR/USD,1.0879912
2024-08-08,1.092813,1.094691,1.088234,1.092813,EUR/USD,1.0900754
2024-08-09,1.091572,1.093135,1.090965,1.091572,EUR/USD,1.0926377999999999
2024-08-12,1.091381,1.093972,1.091334,1.091381,EUR/USD,1.0926972
2024-08-13,1.093625,1.096251,1.091572,1.093625,EUR/USD,1.0924026000000002
2024-08-14,1.099699,1.10485,1.098829,1.099699,EUR/USD,1.093818
2024-08-15,1.10132,1.10169,1.09505,1.10132,EUR/USD,1.0955194000000001
2024-08-16,1.097273,1.10044,1.097273,1.097273,EUR/USD,1.0966596
2024-08-19,1.1025,1.10726,1.10239,1.1025,EUR/USD,1.0988834
2024-08-20,1.10865,1.11173,1.10725,1.10865,EUR/USD,1.1018884
2024-08-21,1.11279,1.11483,1.11056,1.11279,EUR/USD,1.1045066000000001
2024-08-22,1.11554,1.11575,1.10993,1.11554,EUR/USD,1.1073506
2024-08-23,1.11172,1.1196,1.11068,1.11172,EUR/USD,1.11024
2024-08-26,1.11879,1.12011,1.11529,1.11879,EUR/USD,1.113498
2024-08-27,1.11647,1.11796,1.11513,1.11647,EUR/USD,1.115062
2024-08-28,1.11779,1.11819,1.11054,1.11779,EUR/USD,1.1160619999999999
2024-08-29,1.1125,1.11402,1.10563,1.1125,EUR/USD,1.1154540000000002
2024-08-30,1.10805,1.10957,1.1054,1.10805,EUR/USD,1.11472
2024-09-02,1.10448,1.10776,1.10425,1.10448,EUR/USD,1.111858
2024-09-03,1.10675,1.10705,1.10338,1.10675,EUR/USD,1.1099139999999998
2024-09-04,1.10489,1.1094,1.10408,1.10489,EUR/USD,1.107334
2024-09-05,1.10805,1.11211,1.10752,1.10805,EUR/USD,1.1064440000000002
2024-09-06,1.11111,1.11496,1.10672,1.11111,EUR/USD,1.107056
2024-09-09,1.10872,1.10914,1.1035,1.10872,EUR/USD,1.107904
2024-09-10,1.10375,1.10503,1.10162,1.10375,EUR/USD,1.107304
2024-09-11,1.1021,1.1055,1.10028,1.1021,EUR/USD,1.106746
2024-09-12,1.10109,1.10475,1.10065,1.10109,EUR/USD,1.1053539999999997
2024-09-13,1.10779,1.11025,1.1074,1.10779,EUR/USD,1.10469
2024-09-16,1.10884,1.11354,1.10871,1.10884,EUR/USD,1.104714
